"corpus","user/it3/oct_GZQS3fc7aPtWJBbZbMEFoQ"
"subcorpus","-"
Item,Frequency (focus),Frequency (reference),Relative frequency (focus),Relative frequency (reference),Score
"national inventory",12,3325,76.93442,0.05399,73.942
"class method",13,8924,83.34562,0.14490,73.671
"financial product",20,47758,128.22403,0.77547,72.783
"covered bond",12,4787,76.93442,0.07773,72.314
"emission factore",11,0,70.52322,0.00000,71.523
"calculated using primary physical activity",11,0,70.52322,0.00000,71.523
"using primary physical activity",11,0,70.52322,0.00000,71.523
"total company equity",11,0,70.52322,0.00000,71.523
"vehicle-specific emission",11,0,70.52322,0.00000,71.523
"actual building energy consumption",11,0,70.52322,0.00000,71.523
"collateral attribution factor",11,0,70.52322,0.00000,71.523
"inventory boundary",11,0,70.52322,0.00000,71.523
"asset class methodology",11,0,70.52322,0.00000,71.523
"use of proceeds structure",11,0,70.52322,0.00000,71.523
"PCAF Standard",11,0,70.52322,0.00000,71.523
"class methodology",11,72,70.52322,0.00117,71.440
"reinsurance portfolio",11,89,70.52322,0.00145,71.420
"intensity metric",11,120,70.52322,0.00195,71.384
"book value of debt",11,146,70.52322,0.00237,71.354
"year emission",11,237,70.52322,0.00385,71.249
"calculating emission",11,284,70.52322,0.00461,71.195
"facultative reinsurance",11,387,70.52322,0.00628,71.077
"motor vehicle",69,323554,442.37292,5.25369,70.898
"company equity",11,611,70.52322,0.00992,70.821
"value of debt",11,1170,70.52322,0.01900,70.190
"scope definition",11,1193,70.52322,0.01937,70.164
"financial datum",18,41165,115.40163,0.66841,69.768
"vehicle fleet",13,13084,83.34562,0.21245,69.566
"passenger car",22,64272,141.04643,1.04361,69.507
"revenue datum",11,1912,70.52322,0.03105,69.370
"electricity grid",14,19140,89.75682,0.31078,69.239
"including data",12,8133,76.93442,0.13206,68.843
"equity share",13,14509,83.34562,0.23559,68.263
"country level",13,15544,83.34562,0.25240,67.347
"Part C",12,9794,76.93442,0.15903,67.241
"specific asset",11,3984,70.52322,0.06469,67.178
"emissions inventory",11,4302,70.52322,0.06985,66.853
"T O",13,16125,83.34562,0.26183,66.844
"available datum",21,63657,134.63524,1.03363,66.696
"accounting treatment",11,4689,70.52322,0.07614,66.463
"web-based emission factor",10,0,64.11201,0.00000,65.112
"reinsured portfolio r",10,0,64.11201,0.00000,65.112
"web-based emission",10,0,64.11201,0.00000,65.112
"electricity grid mix",10,0,64.11201,0.00000,65.112
"issuance of capital market",10,0,64.11201,0.00000,65.112
"scope of current version",10,0,64.11201,0.00000,65.112
"estimated vehicle distance",10,0,64.11201,0.00000,65.112
"using primary physical activity datum",10,0,64.11201,0.00000,65.112
"GHG Protocol guidance",10,0,64.11201,0.00000,65.112
"Attribution emission",10,0,64.11201,0.00000,65.112
"information on this asset",10,0,64.11201,0.00000,65.112
"sub-sovereign territory",10,0,64.11201,0.00000,65.112
"information on this asset class",10,0,64.11201,0.00000,65.112
"using data provider",10,0,64.11201,0.00000,65.112
"reasoning for the selection",10,0,64.11201,0.00000,65.112
"intensity of an average vehicle",10,0,64.11201,0.00000,65.112
"written premiumr",10,0,64.11201,0.00000,65.112
"company sustainability report",10,0,64.11201,0.00000,65.112
"financial accounting period",10,0,64.11201,0.00000,65.112
"regional statistical datum",10,0,64.11201,0.00000,65.112
"Data quality description",10,0,64.11201,0.00000,65.112
"selection of this alternative indicator",10,0,64.11201,0.00000,65.112
"other suitable financial indicator",10,0,64.11201,0.00000,65.112
"SSE T",10,0,64.11201,0.00000,65.112
"client''s balance sheet",10,0,64.11201,0.00000,65.112
"nominal value",12,12173,76.93442,0.19766,65.072
"Option 1b",10,70,64.11201,0.00114,65.038
"Premium x",10,82,64.11201,0.00133,65.025
"issuance of capital",10,93,64.11201,0.00151,65.014
"client''s balance",10,96,64.11201,0.00156,65.011
"data emission",10,150,64.11201,0.00244,64.954
"customer segment",12,12318,76.93442,0.20001,64.945
"estimated vehicle",10,185,64.11201,0.00300,64.917
"Description option",10,203,64.11201,0.00330,64.898
"grid mix",10,227,64.11201,0.00369,64.873
"level emission",10,287,64.11201,0.00466,64.810
"company sustainability",10,302,64.11201,0.00490,64.794
"commercial insurance",12,12563,76.93442,0.20399,64.730
"primary business activity",10,366,64.11201,0.00594,64.727
"allocation percentage",10,622,64.11201,0.01010,64.461
"corporate debt",12,12985,76.93442,0.21084,64.364
"reinsurance treaty",10,745,64.11201,0.01210,64.334
"Method A",10,835,64.11201,0.01356,64.241
"sector revenue",10,959,64.11201,0.01557,64.114
"special purpose vehicle",11,7169,70.52322,0.11641,64.066
"underlying collateral",10,1024,64.11201,0.01663,64.047
"green bond",13,20146,83.34562,0.32712,63.555
"climate impact",14,26692,89.75682,0.43341,63.315
"purpose vehicle",11,8002,70.52322,0.12993,63.299
"such emission",10,1796,64.11201,0.02916,63.267
"fiscal year-end",10,1913,64.11201,0.03106,63.150
"relative share",10,1945,64.11201,0.03158,63.119
"gross output",10,2382,64.11201,0.03868,62.687
"asset value",14,27658,89.75682,0.44910,62.630
"direct emission",10,2525,64.11201,0.04100,62.548
"Framework convention on Climate",12,15456,76.93442,0.25097,62.299
"risk retention",10,2792,64.11201,0.04533,62.288
"annual policy",10,3076,64.11201,0.04995,62.015
"total premium",10,3389,64.11201,0.05503,61.716
"detailed guidance",11,9982,70.52322,0.16208,61.547
"actual datum",13,22926,83.34562,0.37226,61.465
"construction stage",10,4239,64.11201,0.06883,60.919
"project cost",16,43192,102.57922,0.70133,60.881
"General description",14,30514,89.75682,0.49547,60.688
"asset type",10,4850,64.11201,0.07875,60.359
"insurance contract",12,18244,76.93442,0.29624,60.124
"certain sector",11,11770,70.52322,0.19111,60.047
"sustainability report",11,11984,70.52322,0.19459,59.873
"loan amount",15,39659,96.16802,0.64396,59.106
"megawatt-hour of natural gas",9,0,57.70081,0.00000,58.701
"Structural consideration in securitizations",9,0,57.70081,0.00000,58.701
"emissions attribution",9,0,57.70081,0.00000,58.701
"consideration in securitizations",9,0,57.70081,0.00000,58.701
"primary activity datum",9,0,57.70081,0.00000,58.701
"structured products'' section",9,0,57.70081,0.00000,58.701
"known vehicle make",9,0,57.70081,0.00000,58.701
"actual vehicle distance",9,0,57.70081,0.00000,58.701
"data equation",9,0,57.70081,0.00000,58.701
"web-based emission factor database",9,0,57.70081,0.00000,58.701
"factor by the emissions",9,0,57.70081,0.00000,58.701
"location-specific statistical datum",9,0,57.70081,0.00000,58.701
"respective primary activity",9,0,57.70081,0.00000,58.701
